Geography,Food categories,Commodity (kilograms per person per year),2011,2012,2013,2014,2015
Canada,Food available,Sugar refined,30.15,28.9,30.34,30.04,29.24
Canada,Food available,Sugar Content,30.15,28.9,30.34,30.04,29.24
