candy,4 Weeks Ending,12 Weeks Ending,52 Weeks Ending
TOTAL CANDY & GUM,633807936,1427238912,5595881984
CHOCOLATE CANDY BAR <3.5OZ,54184676,168081376,736215936
CHOCOLATE CANDY BOX/BAG/BAR=>3.5OZ,117505104,335312960,1471236224
CHOCOLATE CANDY SNACK SIZE,177041088,261438768,447059008
GIFT BOX CHOCOLATES,2500276.75,6677477,77580032
NOVELTY CHOCOLATE CANDY,123673.7813,303518.75,1691429.625
SEASONAL CHOCOLATE AO SEASONAL CANDY,41997.93359,104598.9297,3600995
SEASONAL CHOCOLATE CHRISTMAS CANDY,1827247.375,2167164.25,165315152
SEASONAL CHOCOLATE EASTER CANDY,48733.10938,119950.7031,214376288
SEASONAL CHOCOLATE HALLOWEEN CANDY,38470120,57281528,60735700
SEASONAL CHOCOLATE VALENTINE CANDY,917471.6875,1859687.625,120912112
SUGAR FREE CHOCOLATE CANDY,2535862.25,7568722,36449644
CATEGORY - TOTAL CHOCOLATE CANDY,395196256,840915776,3335172608
BREATH FRESHENER,12313360,37010488,152817696
CARAMEL/TAFFY APPLES/KITS/DIPS,17854052,37090956,58116316
HARD SUGAR CANDY/PKG & ROLL CANDY,17792186,41158928,146797712
LICORICE BOX/BAG,9629066,32161262,149805248
NON CHOCOLATE CHEWY CANDY,54227128,137342048,537673536
NOVELTY NON-CHOCOLATE CANDY,30043548,54096752,157149408
PLAIN MINTS,6041858,18464320,79686224
PLU - ALL BRANDS CANDY,0,0,9.2341404
SEASONAL NON-CHOCOLATE AO SEASONL CANDY,19432.65039,76708.73438,2875890.25
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY,311318.0625,398634.1875,43628240
SEASONAL NON-CHOCOLATE EASTER CANDY,173773.875,510846.0625,54313644
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY,27977508,43158264,46162360
SEASONAL NON-CHOCOLATE VALENTINE CANDY,60800.97656,192925.4531,29145114
SPECIALTY NUT/COCONUT CANDY,6412759,16908798,69420912
SUGAR FREE DIET CANDY,2200311.75,6522748,29287604
CATEGORY - TOTAL NON-CHOCOLATE CANDY,185057104,425093664,1556879872
REGULAR GUM (NO SUGARLESS),7170710,20346864,90063760
SUGARLESS GUM,46383856,140882656,613765760
CATEGORY - GUM,53554568,161229520,703829504
