candy,4 Weeks Ending,12 Weeks Ending,52 Weeks Ending
TOTAL CANDY & GUM,605589800,1380579000,5423441000
CHOCOLATE CANDY BAR <3.5OZ,51592000,164285900,713906900
CHOCOLATE CANDY BOX/BAG/BAR=>3.5OZ,106132900,312496700,1376225000
CHOCOLATE CANDY SNACK SIZE,177952200,267292300,445602000
GIFT BOX CHOCOLATES,2605659,6451542,65634410
NOVELTY CHOCOLATE CANDY,167375.4,457418.9,1887566
SEASONAL CHOCOLATE AO SEASONAL CANDY,57348.88,118014.7,3854850
SEASONAL CHOCOLATE CHRISTMAS CANDY,2713800,3889095,166289700
SEASONAL CHOCOLATE EASTER CANDY,34679.61,150107,236667600
SEASONAL CHOCOLATE HALLOWEEN CANDY,32590850,50393840,52994810
SEASONAL CHOCOLATE VALENTINE CANDY,310811,570033.7,110754700
SUGAR FREE CHOCOLATE CANDY,2575124,7631672,36171790
CATEGORY - TOTAL CHOCOLATE CANDY,376732800,813736600,3209990000
BREATH FRESHENER,11589520,35503910,144771800
CARAMEL/TAFFY APPLES/KITS/DIPS,16131710,34607630,55286190
HARD SUGAR CANDY/PKG & ROLL CANDY,17014950,40172850,141620200
LICORICE BOX/BAG,10497070,32816530,146322100
NON CHOCOLATE CHEWY CANDY,49538110,124441200,495823500
NOVELTY NON-CHOCOLATE CANDY,30562710,54589820,151909600
PLAIN MINTS,5555024,17108900,77313170
PLU - ALL BRANDS CANDY,1.02976,23.98803,2340.926
SEASONAL NON-CHOCOLATE AO SEASONL CANDY,25863.78,108851.7,1862609
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY,480148.5,761037.8,42389480
SEASONAL NON-CHOCOLATE EASTER CANDY,58076.84,168769.8,53914150
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY,22120600,35410880,37557850
SEASONAL NON-CHOCOLATE VALENTINE CANDY,97452.38,221210,26794070
SPECIALTY NUT/COCONUT CANDY,6440307,16223390,66140510
SUGAR FREE DIET CANDY,2225534,6693637,29577150
CATEGORY - TOTAL NON-CHOCOLATE CANDY,172337100,398828600,1471285000
REGULAR GUM (NO SUGARLESS),7435562,21409200,96808390
SUGARLESS GUM,49084380,146604700,645357800
CATEGORY - GUM,56519940,168013900,742166100
