candy,4 Weeks Ending,12 Weeks Ending,52 Weeks Ending
TOTAL CANDY & GUM,408790688,1487702912,5762607616
CHOCOLATE CANDY BAR <3.5OZ,51801048,163937888,754152832
CHOCOLATE CANDY BOX/BAG/BAR=>3.5OZ,112781232,355300544,1562875648
CHOCOLATE CANDY SNACK SIZE,27809346,244073312,424221984
GIFT BOX CHOCOLATES,7657577.5,12886842,79495008
NOVELTY CHOCOLATE CANDY,104056.0781,286634.25,1404329.5
SEASONAL CHOCOLATE AO SEASONAL CANDY,188497.25,257090.1094,3022545.25
SEASONAL CHOCOLATE CHRISTMAS CANDY,39683752,40967648,171201328
SEASONAL CHOCOLATE EASTER CANDY,34153.54297,100552.6719,243065792
SEASONAL CHOCOLATE HALLOWEEN CANDY,5274951,62696824,67963616
SEASONAL CHOCOLATE VALENTINE CANDY,942331.4375,2686746.25,134853504
SUGAR FREE CHOCOLATE CANDY,2270021.5,7059669,34991632
CATEGORY - TOTAL CHOCOLATE CANDY,248546976,890253760,3477248256
BREATH FRESHENER,13058011,40375976,165525696
CARAMEL/TAFFY APPLES/KITS/DIPS,5165742.5,38044944,58388552
HARD SUGAR CANDY/PKG & ROLL CANDY,9634080,38211212,140989056
LICORICE BOX/BAG,7500269,26963002,140717728
NON CHOCOLATE CHEWY CANDY,37559004,141758192,577010816
NOVELTY NON-CHOCOLATE CANDY,9599767,59702736,162795728
PLAIN MINTS,6910852,19721166,82739352
PLU - ALL BRANDS CANDY,0,0,0
SEASONAL NON-CHOCOLATE AO SEASONL CANDY,172391.4375,263055.6563,3806137.25
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY,9375550,9664280,46595372
SEASONAL NON-CHOCOLATE EASTER CANDY,19140.66602,86637.21875,54676624
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY,3153534.25,41254720,45519268
SEASONAL NON-CHOCOLATE VALENTINE CANDY,76423.27344,198778.5781,28012660
SPECIALTY NUT/COCONUT CANDY,5902306.5,18412376,69972904
SUGAR FREE DIET CANDY,1928360.125,5998618.5,27163112
CATEGORY - TOTAL NON-CHOCOLATE CANDY,110055432,440655680,1603912960
REGULAR GUM (NO SUGARLESS),6132271.5,19396950,85957760
SUGARLESS GUM,44056020,137396496,595488832
CATEGORY - GUM,50188292,156793456,681446592
