candy,4 Weeks Ending,12 Weeks Ending,52 Weeks Ending
TOTAL CANDY & GUM,509899500,1463780000,5183228000
CHOCOLATE CANDY BAR <3.5OZ,51242240,147761700,683387400
CHOCOLATE CANDY BOX/BAG/BAR=>3.5OZ,130802800,330683600,1262924000
CHOCOLATE CANDY SNACK SIZE,16906600,204552400,414174500
GIFT BOX CHOCOLATES,21974390,31087630,69948060
NOVELTY CHOCOLATE CANDY,86150.12,181605.8,616196.6
SEASONAL CHOCOLATE AO SEASONAL CANDY,229479.4,684961.6,3414757
SEASONAL CHOCOLATE CHRISTMAS CANDY,103189500,134362700,150728600
SEASONAL CHOCOLATE EASTER CANDY,302771.4,393315.8,199715200
SEASONAL CHOCOLATE HALLOWEEN CANDY,390669.2,30351350,42033980
SEASONAL CHOCOLATE VALENTINE CANDY,450683.1,687851.8,102568600
SUGAR FREE CHOCOLATE CANDY,3270183,8284729,36315110
CATEGORY - TOTAL CHOCOLATE CANDY,328845400,889031900,2965826000
BREATH FRESHENER,10953110,32591650,135670300
CARAMEL/TAFFY APPLES/KITS/DIPS,3237102,28788730,62569270
HARD SUGAR CANDY/PKG & ROLL CANDY,8825766,32864740,123466400
LICORICE BOX/BAG,7770545,25436230,131247300
NON CHOCOLATE CHEWY CANDY,34341000,115301400,483396000
NOVELTY NON-CHOCOLATE CANDY,9660162,45651650,146461600
PLAIN MINTS,6522228,17701170,75142220
PLU - ALL BRANDS CANDY,497.2769,2205.697,11476.38
SEASONAL NON-CHOCOLATE AO SEASONL CANDY,67226.59,133277.1,1830987
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY,29596830,37867110,41746850
SEASONAL NON-CHOCOLATE EASTER CANDY,116445.1,369662.4,48656410
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY,179863.7,28034120,40905000
SEASONAL NON-CHOCOLATE VALENTINE CANDY,161002.9,289669.5,25514830
SPECIALTY NUT/COCONUT CANDY,6581855,17513720,56748820
SUGAR FREE DIET CANDY,2377259,7127233,31520270
CATEGORY - TOTAL NON-CHOCOLATE CANDY,120390900,389672600,1404888000
REGULAR GUM (NO SUGARLESS),8784341,25401470,109625700
SUGARLESS GUM,51878840,159674300,702889300
CATEGORY - GUM,60663190,185075800,812514900
