year,billions.spent.halloween,Children costumes,Adult costumes,Pet costumes,Candy
2006,4.96,,,,
2007,5.07,,,,
2008,5.77,,,,
2009,4.75,,,,0.35
2010,5.8,0.84,0.99,0.22,0.509
2011,6.86,1,1.21,0.31,0.419
2012,8,1.1,1.4,0.37,0.606
2013,6.99,1.04,1.22,0.33,0.634
2014,7.4,1.06,1.38,0.35,0.408
2015,6.89,0.95,1.22,0.35,2.5
