Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,125.9159091,127.9795455,130.3818182,132.9545455,135.575,138.2227273,140.9136364,143.5818182,146.1522727,148.5659091,150.7681818,152.7386364,154.4818182,156.0340909,157.3931818,158.5954545,159.5977273,160.2454545,160.3477273,159.775,158.5227273,156.7045455,154.45,151.9613636,149.4181818,146.8295455,144.2818182,142.1318182,140.8340909,140.6954545,141.8454545,144.1681818,147.4272727,151.25,155.3386364,159.6477273,164.1636364,168.65,172.8204545,176.4727273,179.4818182,181.8863636,183.8727273,185.7227273,187.6477273,189.6977273,191.8113636,193.9772727,196.1363636,198.2568182,200.3454545,202.4295455,204.5113636,206.5909091,208.6772727
Australia,AUS,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.958522057,3.009170821,3.054304831,3.095579319
Austria,AUT,85.81132235,86.3388714,86.8952652,87.47639864,88.04660935,88.66633567,89.33153306,89.79659724,90.10722935,90.42245096,90.8268588,91.35627271,91.86382901,92.02031969,91.77649552,91.61449504,91.64967304,91.57550254,91.41953257,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0442286,101.2996936,101.6503501,102.1321905,102.7416971,103.4953533,104.3376186
Azerbaijan,AZE,48.42916712,50.08060853,51.76003701,53.42241369,55.03393537,56.58080681,58.06623647,59.49477871,60.87794561,62.2247858,63.5359602,64.80858478,66.04493072,67.24779793,68.42106781,69.56571374,70.68741964,71.80077388,72.92417415,74.07128351,75.2483507,76.45419806,77.68574931,78.93647933,80.20124494,81.47337683,82.75265871,84.04699761,85.36786955,86.02809522,87.37397407,88.70783614,90.06573176,91.29144285,92.34891909,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3543958,116.7610182
Burundi,BDI,110.6065031,112.7145639,114.910553,117.2880452,119.9000779,122.8146028,125.9783879,129.178933,132.1241822,134.6227804,136.5885125,138.1360981,139.523053,141.115771,143.1850078,145.8214953,148.9674455,152.5648754,156.5002726,160.6909657,165.0963006,169.7477414,174.7123442,180.0863318,185.9134735,192.2285436,198.9322819,205.7699766,212.4016745,218.580257,224.2768302,229.561176,234.4198209,238.8645249,242.9528816,246.62831,250.0154595,253.5794393,257.9325156,263.5153037,270.5109034,278.8130062,288.2093069,298.3494159,308.9646807,320.0183022,331.5645639,343.5278427,355.8327882,368.4235592,381.2364097,394.2590343,407.5529206,421.2172897,435.3162383
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.8528402,367.5114267,369.3136394,370.9119221,372.7120542
Benin,BEN,21.86947499,22.19964526,22.55529443,22.93687478,23.34480312,23.77954949,24.24130897,24.7299663,25.2452288,25.78723838,26.3563409,26.95370699,27.58135864,28.24181447,28.93720291,29.66921781,30.43864846,31.24574317,32.09036006,32.97289819,33.89682512,34.86480135,35.87577155,36.92770486,38.02113338,39.14907769,40.31692089,41.55174707,42.88967719,44.35323696,45.96066868,47.69622206,49.50709471,51.31956368,53.08316779,54.77401561,56.41451756,58.056873,59.77732352,61.62970912,63.62993083,65.75686414,67.98227208,70.26246896,72.56440227,74.88220114,77.22274743,79.58074672,81.95266052,84.33662646,86.72748315,89.1255055,91.5416105,93.99150408,96.48659986
Burkina Faso,BFA,17.88953947,18.12984284,18.37652778,18.63630117,18.91399488,19.21185307,19.52858187,19.86125731,20.20530702,20.55773757,20.91878289,21.29082968,21.67575658,22.07618421,22.49469298,22.93142178,23.38792763,23.86995614,24.38471857,24.9372807,25.53054825,26.16321637,26.83080044,27.52647661,28.2452924,28.98644006,29.75173977,30.54205409,31.3590095,32.20406798,33.07781433,33.98068713,34.9140095,35.8793348,36.87820175,37.9123136,38.98311769,40.09171418,41.23909357,42.42669591,43.65402047,44.92318713,46.24121345,47.61710161,49.05675804,50.56357822,52.13451023,53.76100512,55.43076023,57.13474415,58.87006944,60.6389364,62.44354532,64.28800439,66.17532895
Bangladesh,BGD,380.9910886,392.0304525,403.5691404,415.8361374,428.9392333,443.078505,458.0571099,473.116079,487.2287778,499.7211416,510.2362295,519.1556119,527.4523469,536.5134824,547.3392717,560.2689253,575.0055005,591.1375739,607.989145,625.0608896,642.2338634,659.6621956,677.4311362,695.7020819,714.5669663,734.0462319,754.0083122,774.2148805,794.350242,814.1901821,833.5997465,852.6347008,871.4938465,890.47945,909.7931013,929.4547438,949.3286241,969.2677499,989.0625567,1008.532988,1027.702727,1046.542644,1064.762802,1081.998817,1098.025497,1112.692925,1126.163379,1138.914289,1151.615856,1164.759753,1178.502051,1192.727871,1207.324222,1222.075079,1236.810648
Bulgaria,BGR,71.79895146,72.43013649,73.01947935,73.61782518,74.15861882,74.64572901,75.11729187,75.65400886,76.23765706,76.73844346,77.16166501,77.52146796,77.92612311,78.44838651,78.82800325,79.17019796,79.58223809,79.67126458,79.77890265,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.49644762,72.32047794,71.92752597,71.54432696,71.2435567,70.87379177,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035
